XML:ID	InVersion	AlsoUsedIn	nonW	InParSegs	ChapterLocators	Vol	Label	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/0/full/full/0/default.jpg	Huntington	Thumbnail	surfaceGrp	surfaceGrp type (single leaf/bifolio)	surface type (r/v)	surface type resp	surfaceGrp/surface type cert	Notes
hm924v6n1232	F					6	p. 225	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1232/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/1232	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1232/full/150,/0/default.jpg		bifolio	r1			
hm924v6n1233	F					6	p. 226	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1233/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/1233	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1233/full/150,/0/default.jpg		bifolio	v1			
hm924v6n1234	F					6	p. 227	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1234/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/1234	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1234/full/150,/0/default.jpg		bifolio	r2			v 3 ps forward [pencil]
hm924v6n1235	F					6	p. 228	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1235/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/1235	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1235/full/150,/0/default.jpg		bifolio	v2			
hm924v6n1236	F					6	p. 229	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1236/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/1236	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1236/full/150,/0/default.jpg		single leaf	r			
hm924v6n1237	F					6	p. 230	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1237/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/1237	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1237/full/150,/0/default.jpg		single leaf	v			
hm924v6n1238	F					6	p. 231	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1238/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/1238	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1238/full/150,/0/default.jpg		single leaf	r			No face &c [pencil following ink text; catchwords]
hm924v6n1239	F					6	p. 232	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1239/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/1239	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1239/full/150,/0/default.jpg		single leaf	v			v next page [pencil]
hm924v6n1240	F		T	* C-1	Title Conclusion	6	p. 233	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1240/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/1240	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1240/full/150,/0/default.jpg		bifolio	r1			Conclusion [ink at top of page, written over pencilled French version of Rene Soudihouane quote from Jesuit Relations that appears in English on "Conclusion" page for G: https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/995, but is not in Walden]
hm924v6n1241	F			C-1 C-2		6	p. 234	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1241/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/1241	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1241/full/150,/0/default.jpg		bifolio	v1			
